행정구역,총인구수,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시  (1100000000),"9,500,480","1,291,867","703,130","305,966","42,439","1,709"
부산광역시  (2600000000),"3,340,214","550,633","301,763","127,647","15,849",424
대구광역시  (2700000000),"2,378,573","344,346","180,239","85,195","10,463",262
인천광역시  (2800000000),"2,953,260","406,279","182,505","85,361","13,183",429
광주광역시  (2900000000),"1,436,916","173,183","94,924","44,017","6,154",180
대전광역시  (3000000000),"1,449,360","192,839","93,333","44,658","6,323",179
울산광역시  (3100000000),"1,117,204","158,060","64,484","24,914","3,336",64
세종특별자치시  (3600000000),"378,196","34,347","15,128","7,778","1,331",32
경기도  (4100000000),"13,577,808","1,699,088","785,597","385,907","56,711","1,837"
강원도  (4200000000),"1,539,038","263,043","134,783","78,574","11,815",349
충청북도  (4300000000),"1,597,284","244,664","121,942","71,063","9,815",295
충청남도  (4400000000),"2,119,296","304,193","173,001","106,626","16,270",438
전라북도  (4500000000),"1,780,824","270,532","169,022","99,490","15,086",421
전라남도  (4600000000),"1,828,550","287,371","190,321","118,014","17,838",508
경상북도  (4700000000),"2,617,552","437,198","245,698","144,501","21,069",565
경상남도  (4800000000),"3,300,692","500,003","253,429","133,771","19,297",395
제주특별자치도  (5000000000),"677,413","86,018","46,136","25,479","4,356",206
