시/도,구,65세이상 노인인구,시설수,정원,현원,종사자수
서울,서울합계,"1,561,139",508,"15,467","13,962","9,680"
서울,종로구,"28,311",10,364,340,258
서울,중구,"24,174",3,83,81,68
서울,용산구,"39,779",4,203,204,143
서울,성동구,"45,435",6,418,386,251
서울,광진구,"50,311",20,595,556,368
서울,동대문구,"61,612",25,408,386,264
서울,중랑구,"69,341",48,"1,201","1,097",740
서울,성북구,"73,613",21,757,651,431
서울,강북구,"63,313",31,707,676,462
서울,도봉구,"62,009",55,"1,144","1,058",725
서울,노원구,"85,420",32,"1,069",963,661
서울,은평구,"85,010",22,"1,132","1,045",683
서울,서대문구,"53,756",18,453,387,292
서울,마포구,"54,002",4,302,298,213
서울,양천구,"65,541",21,723,684,485
서울,강서구,"88,733",31,"1,122","1,024",687
서울,구로구,"69,201",17,973,802,539
서울,금천구,"39,314",25,703,651,466
서울,영등포구,"60,663",18,260,241,190
서울,동작구,"64,928",10,253,237,160
서울,관악구,"78,430",28,597,552,416
서울,서초구,"60,072",5,331,314,221
서울,강남구,"74,959",7,241,89,69
서울,송파구,"93,309",23,789,737,539
서울,강동구,"69,903",24,639,503,349
부산,부산합계,"657,711",112,"6,433","5,191","3,492"
부산,중구,"11,315",1,70,62,43
부산,서구,"27,346",4,336,226,156
부산,동구,"23,381",3,273,231,149
부산,영도구,"31,483",3,161,154,102
부산,부산진구,"70,896",8,326,274,193
부산,동래구,"49,927",8,388,337,236
부산,남구,"53,898",5,216,173,120
부산,북구,"49,304",10,490,457,306
부산,해운대구,"70,306",9,268,243,162
부산,사하구,"59,570",10,715,587,381
부산,금정구,"48,920",8,778,635,435
부산,강서구,"16,633",4,274,192,122
부산,연제구,"40,515",7,172,160,107
부산,수영구,"37,610",5,210,198,140
부산,사상구,"38,865",8,499,377,263
부산,기장군,"27,742",19,"1,257",885,577
대구,대구합계,"400,494",256,"8,315","7,359","5,205"
대구,중구,"15,928",6,191,157,119
대구,동구,"67,439",43,"1,428","1,326",955
대구,서구,"38,587",38,"1,194","1,040",714
대구,남구,"34,187",28,832,744,533
대구,북구,"64,054",60,"1,768","1,558","1,045"
대구,수성구,"66,564",15,472,406,301
대구,달서구,"80,646",35,"1,066",946,691
대구,달성군,"33,089",31,"1,364","1,182",847
인천,인천합계,"411,483",429,"15,736","12,807","8,684"
인천,중구,"20,531",22,906,724,486
인천,동구,"14,453",9,337,300,215
인천,미추홀구,"69,074",46,"1,983","1,666","1,160"
인천,연수구,"38,190",32,"1,213",895,567
인천,남동구,"71,468",97,"3,058","2,471","1,700"
인천,부평구,"73,424",63,"2,183","1,893","1,280"
인천,계양구,"37,947",52,"1,687","1,489",960
인천,서구,"58,087",73,"2,735","2,205","1,576"
인천,강화군,"22,824",32,"1,523","1,094",733
인천,옹진군,"5,485",3,111,70,7
광주,광주합계,"205,666",93,"3,529","2,903","1,746"
광주,동구,"22,196",10,352,294,203
광주,서구,"42,471",15,583,471,311
광주,남구,"37,715",15,477,381,246
광주,북구,"64,829",30,994,894,582
광주,광산구,"38,455",23,"1,123",863,404
대전,대전합계,"210,784",135,"6,266","5,268","3,455"
대전,동구,"42,533",32,"1,585","1,284",834
대전,중구,"45,701",25,"1,061",904,590
대전,서구,"61,027",42,"1,733","1,388",939
대전,유성구,"33,654",18,"1,066",950,594
대전,대덕구,"27,869",18,821,742,498
울산,울산합계,"143,367",50,"2,191","1,782","1,218"
울산,중구,"33,231",10,467,399,282
울산,남구,"39,173",9,226,206,140
울산,동구,"19,955",3,117,112,79
울산,북구,"18,025",5,402,348,228
울산,울주군,"32,983",23,979,717,489
세종,세종합계,"34,881",15,579,441,300
세종,세종시,"34,881",15,579,441,300
경기,경기합계,"1,775,315","1,926","65,649","55,079","36,844"
경기,수원시,"131,936",85,"3,544","3,105","2,170"
경기,성남시,"133,221",46,"1,931","1,722","1,202"
경기,의정부시,"70,369",99,"3,420","3,019","2,036"
경기,안양시,"75,581",45,"1,746","1,498","1,062"
경기,부천시,"111,952",133,"3,643","3,173","2,116"
경기,광명시,"41,683",15,465,518,383
경기,평택시,"66,486",44,"1,844","1,628","1,113"
경기,동두천시,"19,397",39,"1,357","1,068",701
경기,안산시,"71,620",130,"3,558","2,972","2,015"
경기,고양시,"145,710",190,"7,299","6,130","4,221"
경기,과천시,"8,994",2,86,85,59
경기,구리시,"26,962",22,564,499,346
경기,남양주시,"100,537",165,"5,121","4,091","2,771"
경기,오산시,"22,060",18,803,721,461
경기,시흥시,"46,782",96,"2,346","1,819","1,261"
경기,군포시,"36,416",49,"1,478","1,251",843
경기,의왕시,"22,280",16,439,364,267
경기,하남시,"37,573",19,690,605,408
경기,용인시,"143,096",123,"5,214","4,279","2,945"
경기,파주시,"64,915",112,"2,818","2,286","1,534"
경기,이천시,"31,134",23,918,781,537
경기,안성시,"32,844",43,"2,033","1,595","1,017"
경기,김포시,"58,124",54,"1,214","1,129",763
경기,화성시,"76,180",79,"2,598","2,135","1,392"
경기,광주시,"51,079",29,"1,344","1,176",808
경기,양주시,"36,245",100,"4,545","3,540","1,753"
경기,포천시,"29,314",63,"1,784","1,497","1,013"
경기,여주시,"24,475",27,909,767,559
경기,연천군,"11,490",11,339,276,197
경기,가평군,"16,324",13,505,407,266
경기,양평군,"30,536",36,"1,094",943,625
강원,강원합계,"319,691",325,"10,829","9,065","6,487"
강원,춘천시,"50,567",68,"1,869","1,649","1,203"
