행정구역,총인구수,60세 이상 인구수,60세 이상 인구수 비율,총의사수,총병상수,총병원수
경기도 화성시 (4159000000),892038,132907,14.89925317,1697,7700,878
세종특별자치시,378196,58616,15,742,3161,417
광주광역시 광산구 (2920000000),402998,63612,15.78469372,1064,11275,498
울산광역시 북구 (3120000000),218947,35057,16.01163752,277,2038,178
경기도 오산시 (4137000000),230028,37824,16.44321561,464,3529,236
경기도 시흥시 (4139000000),512721,87118,16.99130716,928,6365,529
대전광역시 유성구 (3020000000),352557,59939,17.0012225,875,5615,480
경상북도 구미시 (4719000000),409935,70984,17.31591594,824,4981,454
인천광역시 연수구 (2818500000),388284,69662,17.94099165,721,2614,430
충청남도 천안시 (4413000000),657080,121467,18.48587691,2213,11628,812
인천광역시 서구 (2826000000),568102,106497,18.74610545,1178,8165,553
경기도 수원시 (4111000000),1185560,223378,18.84156011,3879,15901,1681
경기도 평택시 (4122000000),569369,109183,19.1761406,1081,6213,606
부산광역시 강서구 (2644000000),143638,28021,19.5080689,178,716,116
경기도 김포시 (4157000000),485609,95526,19.67138171,955,5451,535
경상남도 거제시 (4831000000),239212,47183,19.72434493,375,2929,235
충청남도 계룡시 (4425000000),43475,8580,19.73548016,65,393,49
경상남도 김해시 (4825000000),536565,106387,19.82742072,1104,12749,562
경기도 안산시 (4127000000),650708,130208,20.01020427,1762,11497,784
충청남도 아산시 (4420000000),329043,66436,20.19067417,565,4185,329
경기도 하남시 (4145000000),323558,65385,20.20812343,587,2675,383
경기도 용인시 (4146000000),1075877,218207,20.28177942,2055,11059,1169
서울특별시 강남구 (1168000000),532049,112366,21.11948336,6851,11299,2804
대전광역시 서구 (3017000000),471907,100237,21.24083771,2150,9235,904
대구광역시 달성군 (2771000000),262686,55810,21.24589814,377,3563,282
경기도 파주시 (4148000000),486515,103757,21.3265778,770,6810,449
서울특별시 마포구 (1144000000),367613,78428,21.33439242,1028,1820,764
경기도 과천시 (4129000000),78301,16730,21.36626608,89,95,76
서울특별시 서초구 (1165000000),408918,87390,21.37103282,3114,4939,1331
전라남도 광양시 (4623000000),151460,33022,21.80245609,227,1999,160
충청북도 청주시 (4311000000),848795,185669,21.87442197,2282,14076,1112
울산광역시 남구 (3114000000),312148,68740,22.02160514,1110,7022,614
인천광역시 중구 (2811000000),146380,32281,22.05287608,607,2487,130
제주특별자치도 제주시 (5011000000),493076,109562,22.220104,1382,6328,731
경기도 고양시 (4128000000),1079277,239867,22.22478567,3384,15492,1282
경기도 남양주시 (4136000000),734642,163524,22.25900507,1217,8247,757
서울특별시 송파구 (1171000000),662963,149080,22.48692612,3556,8936,1230
경기도 광주시 (4161000000),388893,88011,22.63116076,490,2736,315
광주광역시 서구 (2914000000),289341,65755,22.72578031,1054,7636,552
경기도 성남시 (4113000000),928267,211573,22.79225697,4300,13751,1734
경상남도 양산시 (4833000000),354290,80928,22.84230433,1276,9168,395
서울특별시 광진구 (1121500000),340396,77776,22.84868212,1268,3499,563
경기도 이천시 (4150000000),222722,50970,22.88503156,405,2776,252
경기도 광명시 (4121000000),290756,66711,22.94398052,851,3290,434
경기도 군포시 (4141000000),267493,61561,23.01406018,627,2892,324
전라북도 전주시 (4511000000),655601,151652,23.13175239,2625,20273,1093
경기도 안양시 (4117000000),549724,127255,23.14888926,1728,5789,863
경기도 구리시 (4131000000),191011,44231,23.15625802,738,3329,342
인천광역시 남동구 (2820000000),515474,119929,23.26577092,1725,9600,757
서울특별시 관악구 (1162000000),486361,113414,23.31889276,1074,3893,712
서울특별시 양천구 (1147000000),445662,104197,23.38027474,1380,4097,655
대구광역시 북구 (2723000000),436386,102625,23.51702392,1113,8789,575
경기도 의왕시 (4143000000),162137,38232,23.58005884,229,2194,159
울산광역시 동구 (3117000000),153164,36269,23.67984644,583,2380,173
서울특별시 영등포구 (1156000000),376465,89318,23.72544592,1932,7565,799
인천광역시 계양구 (2824500000),293734,70070,23.85491635,726,5380,377
광주광역시 북구 (2917000000),426745,101868,23.87092995,1254,13535,611
부산광역시 기장군 (2671000000),176505,42186,23.90073936,338,2134,188
경기도 의정부시 (4115000000),464358,111908,24.09950943,1401,7445,582
서울특별시 강서구 (1150000000),572648,138350,24.15969321,1681,6881,902
서울특별시 성동구 (1120000000),284573,68753,24.16005735,1021,2510,469
경기도 부천시 (4119000000),801503,193710,24.16834372,2490,14114,1116
대구광역시 수성구 (2726000000),415694,101206,24.34627394,1258,5829,797
서울특별시 강동구 (1174000000),461228,112887,24.47531373,2150,7603,854
대구광역시 달서구 (2729000000),540693,132438,24.49412143,1905,11237,833
강원도 원주시 (4213000000),358838,88283,24.60246685,1165,6664,481
경상남도 창원시 (4812000000),1028152,253072,24.61425937,2902,24355,1333
전라남도 순천시 (4615000000),280478,69047,24.61761707,772,7429,357
경기도 양주시 (4163000000),236142,58190,24.64195272,394,3619,203
서울특별시 동작구 (1159000000),385982,95431,24.72420994,1414,3663,593
서울특별시 성북구 (1129000000),433331,107816,24.88074936,1327,4527,541
인천광역시 부평구 (2823700000),484125,120591,24.90906274,1347,6456,647
울산광역시 울주군 (3171000000),221696,55472,25.02165127,293,3830,207
서울특별시 용산구 (1117000000),222009,55605,25.04628191,809,1259,327
경상북도 칠곡군 (4785000000),113311,28387,25.05228972,152,2057,113
충청북도 진천군 (4375000000),85625,21505,25.11532847,146,1069,97
서울특별시 서대문구 (1141000000),305721,77194,25.24981928,2123,4773,444
서울특별시 노원구 (1135000000),509658,129514,25.41194291,1636,4907,751
경상북도 경산시 (4729000000),267583,69907,26.12535176,541,4669,337
광주광역시 남구 (2915500000),214848,56130,26.12544683,765,7476,339
전라남도 목포시 (4611000000),218024,57054,26.16867868,709,9307,283
울산광역시 중구 (3111000000),211249,55320,26.18710621,424,2801,238
경상남도 진주시 (4817000000),345686,90912,26.29901124,1162,7750,481
대전광역시 대덕구 (3023000000),175052,46125,26.34931335,398,3189,224
서울특별시 구로구 (1153000000),395555,104278,26.36245276,1450,6022,587
서울특별시 동대문구 (1123000000),337570,89227,26.43214741,1702,6481,597
인천광역시 미추홀구 (2817700000),406835,107624,26.45396782,897,7871,478
서울특별시 금천구 (1154500000),231150,61266,26.50486697,556,3058,359
서울특별시 은평구 (1138000000),473131,126247,26.68330758,1285,5266,695
경기도 안성시 (4155000000),189772,51337,27.05193601,318,2719,201
전라남도 무안군 (4684000000),90876,24749,27.23381311,180,1957,110
강원도 춘천시 (4211000000),285575,77917,27.28425107,969,4669,370
충청북도 증평군 (4374500000),36916,10083,27.31336006,55,405,45
서울특별시 종로구 (1111000000),144005,39352,27.32682893,2994,4303,487
충청남도 서산시 (4421000000),176435,48486,27.48094199,291,1561,198
부산광역시 해운대구 (2635000000),393130,108086,27.49370437,1375,7244,672
대구광역시 중구 (2711000000),77842,21472,27.58408057,1510,3840,459
충청남도 당진시 (4427000000),166893,46222,27.69558939,273,2156,192
서울특별시 중랑구 (1126000000),388941,107736,27.69983108,1028,4582,541
부산광역시 동래구 (2626000000),273976,76482,27.91558385,932,7360,495
서울특별시 중구 (1114000000),122087,34335,28.12338742,1193,1941,572
경상북도 포항시 (4711000000),500947,142156,28.3774531,1280,11993,652
제주특별자치도 서귀포시 (5013000000),184337,52633,28.5525966,311,1281,254
전라북도 군산시 (4513000000),264358,75667,28.622928,626,5907,361
대전광역시 동구 (3011000000),220313,63984,29.04231707,536,4540,344
부산광역시 북구 (2632000000),280852,81945,29.17728911,691,5407,364
대전광역시 중구 (3014000000),229531,67047,29.21043345,1339,6841,375
전라남도 여수시 (4613000000),275812,81260,29.46209737,658,6903,364
부산광역시 연제구 (2647000000),206677,61145,29.58481108,655,5677,375
대구광역시 동구 (2714000000),341142,101217,29.67004942,911,5016,489
서울특별시 도봉구 (1132000000),315522,94102,29.82422779,652,3356,372
부산광역시 부산진구 (2623000000),351022,104926,29.89157375,1918,8944,837
전라북도 익산시 (4514000000),276666,83071,30.025735,960,6758,406
부산광역시 남구 (2629000000),260617,78514,30.12620052,620,4173,389
광주광역시 동구 (2911000000),102984,31093,30.19206867,1247,6461,235
강원도 속초시 (4221000000),82691,25023,30.26085064,191,1190,131
경기도 동두천시 (4125000000),93260,28369,30.41925799,177,2618,94
부산광역시 사하구 (2638000000),305556,93408,30.56984644,721,8266,432
서울특별시 강북구 (1130500000),296942,91049,30.66221686,728,3340,466
충청북도 충주시 (4313000000),208865,64461,30.86251885,487,3713,273
강원도 동해시 (4217000000),89674,27680,30.86736401,173,1667,104
부산광역시 사상구 (2653000000),206365,64043,31.03384779,538,7163,242
경상남도 통영시 (4822000000),124554,39044,31.34704626,230,2612,168
부산광역시 수영구 (2650000000),174633,54875,31.42304146,637,4690,330
전라남도 나주시 (4617000000),116398,36686,31.51772367,315,4388,170
강원도 강릉시 (4215000000),212526,68281,32.1283043,750,3184,268
