시·군·구별(1),시·군·구별(2),계(사회복지사),계(의사(계약의사포함)),계(간호사),계(간호조무사),계(치과위생사),계(물리(작업)치료사),계(요양보호사),계(영양사),계(사회복지사),재가(의사(계약의사포함)),재가(간호사),재가(간호조무사),재가(치과위생사),재가(물리(작업)치료사),재가(요양보호사),재가(영양사),시설(사회복지사),시설(계약의사포함),시설(간호사),시설(간호조무사),시설(치과위생사),시설(물리(작업)치료사),시설(요양보호사),시설(영양사)
합계,소계,30268,2312,3504,13221,14,2558,450970,1136,22642,99,1940,5185,14,407,381359,72,7685,2283,1623,8932,-,2276,76011,1069
서울,소계,3908,226,551,1485,2,250,76564,83,3364,21,298,818,2,65,70585,18,544,216,259,743,-,189,6464,66
서울,종로구,54,7,18,21,-,7,792,3,40,-,8,8,-,1,625,-,14,7,10,15,-,6,170,3
서울,중구,44,2,3,17,-,5,802,2,41,-,2,12,-,4,760,1,3,2,1,5,-,1,42,1
서울,용산구,82,4,11,16,-,3,1608,3,72,-,4,11,-,1,1517,1,10,4,7,5,-,2,91,2
서울,성동구,83,5,26,27,-,12,2049,2,72,1,10,21,-,5,1886,1,11,4,16,7,-,7,169,1
서울,광진구,124,14,12,53,-,8,3042,4,105,-,5,28,-,-,2809,-,19,14,8,28,-,8,243,4
서울,동대문구,149,15,17,56,-,5,3315,1,138,5,11,41,-,2,3163,-,11,13,7,25,-,3,164,1
서울,중랑구,205,18,30,133,-,13,4112,6,157,4,19,71,-,2,3626,2,48,16,11,76,-,11,497,4
서울,성북구,202,14,20,63,-,11,4504,2,176,-,11,37,-,1,4216,-,26,14,9,28,-,10,310,2
서울,강북구,150,12,12,81,-,13,3557,4,123,1,10,38,-,5,3271,-,27,11,2,47,-,8,297,4
서울,도봉구,209,16,25,104,-,10,3505,2,151,2,13,46,-,1,3050,-,58,16,12,71,-,9,462,2
서울,노원구,258,19,39,107,-,13,5866,7,229,1,17,64,-,4,5436,1,29,18,23,44,-,10,444,6
서울,은평구,234,18,36,98,-,17,4527,3,200,2,17,50,-,2,4071,-,34,16,19,51,-,15,476,3
서울,서대문구,114,9,13,52,-,5,2505,1,95,1,4,35,-,1,2321,-,19,9,9,21,-,4,193,1
서울,마포구,128,5,39,31,-,9,3026,4,120,-,22,25,-,4,2893,3,8,5,18,7,-,5,134,1
서울,양천구,218,15,28,80,-,16,4960,7,190,-,14,47,-,6,4653,3,28,15,14,35,-,11,317,4
서울,강서구,314,15,37,88,-,23,7323,5,272,-,29,36,-,5,6875,-,42,15,8,54,-,18,470,5
서울,구로구,183,10,31,72,-,15,4033,4,156,-,18,31,-,3,3639,1,27,10,13,41,-,13,401,3
서울,금천구,93,12,9,62,1,12,2292,5,69,1,6,21,1,3,2017,-,24,12,3,43,-,9,284,5
서울,영등포구,132,4,13,56,-,2,3921,1,127,1,7,37,-,-,3821,-,5,4,6,20,-,2,106,1
서울,동작구,136,7,12,44,-,4,3075,3,129,2,11,30,-,2,2970,2,7,5,1,14,-,2,107,1
서울,관악구,194,15,14,75,-,8,4651,4,169,-,11,38,-,3,4396,-,25,15,4,39,-,6,265,4
서울,서초구,86,6,20,28,-,10,3067,2,74,-,13,15,-,3,2923,1,12,6,7,13,-,7,145,1
서울,강남구,150,6,34,30,-,6,4440,2,140,-,26,24,-,2,4332,1,10,6,8,7,-,4,114,1
서울,송파구,235,13,49,96,1,14,6650,3,206,2,19,76,1,1,6322,1,29,12,30,23,-,13,339,3
서울,강동구,155,9,20,53,-,9,4003,3,136,-,7,25,-,4,3786,-,19,9,13,28,-,5,229,3
부산,소계,1791,74,119,463,2,132,32231,57,1572,1,94,225,2,52,30083,3,221,74,26,258,-,88,2263,54
부산,중구,53,1,1,7,-,1,1308,1,52,-,1,4,-,-,1281,-,1,1,-,3,-,1,27,1
부산,서구,39,4,3,15,-,5,1188,4,31,-,1,4,-,-,1089,-,8,4,2,11,-,5,100,4
부산,동구,93,4,14,19,-,5,3009,2,87,-,13,7,-,1,2910,-,6,4,1,12,-,4,101,2
부산,영도구,69,4,10,13,-,4,1566,1,64,1,8,6,-,2,1501,-,5,4,2,7,-,3,68,1
부산,부산진구,208,6,13,33,-,8,5415,5,198,-,10,22,-,3,5307,1,11,6,3,12,-,5,115,4
부산,동래구,184,8,11,39,-,9,4086,4,167,-,11,18,-,4,3934,-,17,8,-,23,-,5,152,4
부산,남구,111,5,10,21,-,8,3334,2,104,-,10,14,-,6,3254,-,7,5,-,9,-,4,81,2
부산,북구,163,9,5,37,-,12,2741,5,140,-,4,17,-,6,2546,-,23,9,1,23,-,8,198,5
부산,해운대구,181,6,8,44,-,11,3565,-,168,-,7,30,-,7,3455,-,13,6,1,15,-,4,113,-
부산,사하구,142,10,4,48,-,15,3432,6,118,-,3,24,-,5,3191,-,24,10,1,25,-,10,251,6
부산,금정구,142,8,9,47,-,10,2740,7,122,-,5,20,-,-,2457,-,21,8,4,30,-,10,284,7
부산,강서구,35,5,4,20,1,5,587,2,27,-,2,8,1,2,506,-,8,5,2,13,-,4,82,2
부산,연제구,94,5,1,20,1,5,2322,2,86,-,1,11,1,4,2259,1,8,5,-,11,-,1,65,1
부산,수영구,74,7,16,14,-,8,1740,2,64,-,13,5,-,4,1656,-,10,7,3,9,-,4,84,2
부산,사상구,89,6,4,35,-,13,1346,5,72,-,3,17,-,5,1182,1,17,6,1,18,-,8,164,4
부산,기장군,121,7,10,54,-,13,2001,9,79,-,5,20,-,3,1628,-,42,7,5,38,-,12,380,9
대구,소계,1448,124,172,602,1,111,21827,59,1130,3,79,316,1,27,18762,3,319,123,94,376,-,92,3235,57
대구,중구,50,6,4,14,-,5,859,1,45,-,2,8,-,2,792,-,6,6,2,9,-,3,70,1
대구,동구,314,25,21,117,-,18,5130,12,254,1,8,67,-,3,4551,2,60,25,13,67,-,16,593,10
대구,서구,134,17,10,73,-,15,2690,8,90,-,4,26,-,3,2242,-,44,17,6,58,-,14,454,8
대구,남구,130,15,16,48,-,8,2781,4,101,-,4,20,-,1,2450,-,29,15,12,34,-,7,338,4
대구,북구,260,31,41,117,1,23,4334,10,193,1,22,59,1,7,3704,-,67,30,19,82,-,17,650,10
대구,수성구,182,13,18,54,-,7,3830,4,160,1,11,40,-,1,3654,1,22,13,8,19,-,6,178,4
대구,달서구,274,18,42,116,-,17,5019,8,238,-,30,70,-,6,4603,-,36,18,12,55,-,12,428,8
대구,달성군,108,26,23,63,-,18,1416,12,53,-,1,26,-,4,897,-,55,26,22,52,-,17,526,12
인천,소계,1815,144,221,906,-,176,29511,62,1210,3,158,229,-,13,24219,-,608,143,67,719,-,166,5681,62
인천,중구,82,21,8,44,-,12,1163,2,48,-,3,11,-,-,863,-,34,21,5,35,-,12,302,2
인천,동구,55,5,11,24,-,5,1133,3,41,-,8,7,-,-,999,-,14,5,3,18,-,5,135,3
인천,미추홀구,246,24,48,113,-,29,5442,12,177,1,38,23,-,1,4704,-,69,23,10,93,-,29,759,12
인천,연수구,153,21,27,65,-,10,2773,3,119,1,21,25,-,1,2437,-,34,21,6,47,-,9,349,3
인천,남동구,369,37,43,189,-,32,6522,12,252,-,26,57,-,3,5460,-,118,37,18,145,-,29,1090,12
인천,부평구,290,35,37,131,-,23,6986,8,207,1,29,31,-,2,6171,-,83,35,9,103,-,23,845,8
인천,계양구,236,25,20,104,-,19,5069,3,157,-,15,25,-,1,4425,-,80,25,5,87,-,18,676,3
인천,서구,296,33,29,168,-,31,4774,12,176,-,23,45,-,5,3793,-,121,33,6,124,-,26,1018,12
인천,강화군,88,9,10,67,-,13,1144,6,37,-,5,5,-,-,691,-,51,9,5,64,-,13,482,6
인천,옹진군,5,1,-,5,-,2,41,1,1,-,-,1,-,-,10,-,4,1,-,5,-,2,31,1
광주,소계,940,36,123,272,1,53,16888,22,797,1,82,165,1,18,15722,-,147,36,42,129,-,43,1263,22
광주,동구,71,6,8,17,-,7,2141,2,55,-,2,6,-,2,2011,-,17,6,6,11,-,6,134,2
광주,서구,193,7,17,44,-,7,4828,4,170,-,12,28,-,1,4616,-,24,7,5,18,-,6,221,4
광주,남구,160,10,30,34,-,5,3742,4,141,1,28,21,-,2,3597,-,19,10,2,16,-,3,154,4
광주,북구,291,11,35,103,1,17,6105,5,244,-,24,70,1,5,5754,-,47,11,11,44,-,14,364,5
