"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"중랑구","학원","1000000293","예맥보습학원","서울특별시 중랑구 동일로151길 30","2층3층 (묵동)","입시.검정 및 보습","보통교과","보습/","보습","18","152","","N","","131852","개원","19881102","","","19881102","20220508"
"중랑구","학원","1000000420","세진보습학원","서울특별시 중랑구 공릉로 58","2층4층일부 (묵동)","입시.검정 및 보습","보통교과","보습?논술/","보습?논술","675","110","","N","N","131848","개원","19880719","","","19880719","20220508"
"동대문구","학원","1000000714","장안로드맵수학학원","서울특별시 동대문구 한천로 124","/ 2층 202호 (장안동)","입시.검정 및 보습","보통교과","보습/","보습","154","71","","Y","N","02623","개원","19891209","","","19891209","20220508"
"동대문구","학원","1000000776","더하이스트수학학원","서울특별시 동대문구 사가정로 190","/ 상가4층 8/9호 (전농동/ 전농우성아파트)","입시.검정 및 보습","보통교과","","보습?논술","180","68","","Y","N","02533","개원","19890619","","","19890619","20220508"
"동대문구","학원","1000000804","미래사관학원","서울특별시 동대문구 천호대로16길 12","3층4층 (용두동)","입시.검정 및 보습","보통교과","","보습","167","130","","Y","N","130821","개원","19890522","","","19890522","20220508"
"중랑구","학원","1000000955","필립학원","서울특별시 중랑구 동일로129길 54","2층 (중화동)","입시.검정 및 보습","보통교과","","보습","210","105","","N","","131881","개원","19890514","","","19890514","20220508"
"동대문구","학원","1000001390","맨하탄학원","서울특별시 동대문구 황물로 42","/ 2층일부 (답십리동)","입시.검정 및 보습","보통교과","보습/","보습","80","184","","Y","N","02593","개원","19900219","","","19900219","20220508"
"동대문구","학원","1000001429","한영보습학원","서울특별시 동대문구 답십리로23길 59","(2층) (전농동)","입시.검정 및 보습","보통교과","보습/","보습","90","92","","N","","130857","개원","19900201","","","19900201","20220508"
"중랑구","학원","1000001440","YBM잉글루2관학원","서울특별시 중랑구 면목로48길 49","/ 2층 (면목동/21세기보습학원)","입시.검정 및 보습","보통교과","보습/","보습","90","115","","Y","N","131813","개원","19900203","","","19900203","20220508"
"동대문구","학원","1000001549","수학엠플러스학원","서울특별시 동대문구 한천로 165","/ 3층 일부 (답십리동)","입시.검정 및 보습","보통교과","보습/","보습","84","61","","N","N","02534","개원","19890601","","","19890601","20220508"
"중랑구","학원","1000001589","대정보습학원","서울특별시 중랑구 용마산로 389","/ 3층 (면목동/석주빌딩)","입시.검정 및 보습","보통교과","보습/","보습","40","155","","Y","N","131812","개원","19920605","","","19920605","20220508"
"중랑구","학원","1000001895","백년대계제1관선화학원","서울특별시 중랑구 면목로 306","2층3층일부 (면목동)","입시.검정 및 보습","보통교과","보습/","보습","151","283","","Y","N","131828","개원","19920309","","","19920309","20220508"
"동대문구","학원","1000001912","교원더퍼스트캠퍼스학원","서울특별시 동대문구 이문로 65","/ 2층/ 3층 (이문동)","입시.검정 및 보습","보통교과","보습/","보습","132","144","","Y","N","02451","개원","19921102","","","19921102","20220508"
"중랑구","학원","1000002253","으뜸학원","서울특별시 중랑구 용마산로 436","/ 4층/ 5층 (면목동)","입시.검정 및 보습","보통교과","보습?논술/","보습?논술","95","115","","Y","N","131811","개원","19930619","","","19930619","20220508"
"동대문구","학원","1000002272","수재학원","서울특별시 동대문구 답십리로 133","/ 1층/ 2층 (답십리동)","입시.검정 및 보습","보통교과","보습/","보습","580","132","","Y","N","02542","개원","19940706","","","19940706","20220508"
"중랑구","학원","1000002394","이룸학원","서울특별시 중랑구 면목로27길 6","/ 3층 (면목동)","입시.검정 및 보습","보통교과","보습/","보습","100","80","","Y","N","02244","개원","19950731","","","19950731","20220508"
"중랑구","학원","1000002499","하나에듀학원","서울특별시 중랑구 봉우재로 211","2층 (망우동)","입시.검정 및 보습","보통교과","","보습","208","109","","N","","131809","개원","19950914","","","19950914","20220508"
"중랑구","학원","1000002507","면일보습학원","서울특별시 중랑구 용마산로94길 47","2층) (면목동)","입시.검정 및 보습","보통교과","보습/","보습","40","70","","N","","131811","개원","19950918","","","19950918","20220508"
"중랑구","학원","1000002515","정상보습학원","서울특별시 중랑구 면목로48길 65","/ 2/3층 (면목동/ 경상빌딩)","입시.검정 및 보습","보통교과","","보습","210","178","","Y","","131813","개원","19950922","","","19950922","20220508"
