danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.301,0.187,4,-20.637,0,0.0504,0.981,0.00368,0.102,0.0408,88.998,audio_features,594InqowY4HR1CFThNlOjK,spotify:track:594InqowY4HR1CFThNlOjK,https://api.spotify.com/v1/tracks/594InqowY4HR1CFThNlOjK,https://api.spotify.com/v1/audio-analysis/594InqowY4HR1CFThNlOjK,84147,1
0.468,0.167,6,-18.723,0,0.0293,0.908,0.293,0.106,0.0495,99.928,audio_features,4aTWEZ7f71SeAB5SS8wakt,spotify:track:4aTWEZ7f71SeAB5SS8wakt,https://api.spotify.com/v1/tracks/4aTWEZ7f71SeAB5SS8wakt,https://api.spotify.com/v1/audio-analysis/4aTWEZ7f71SeAB5SS8wakt,98400,4
0.492,0.776,1,-9.864,1,0.163,0.339,0.00207,0.132,0.734,90.99,audio_features,144pmLno2ywO6gBAkMjBf7,spotify:track:144pmLno2ywO6gBAkMjBf7,https://api.spotify.com/v1/tracks/144pmLno2ywO6gBAkMjBf7,https://api.spotify.com/v1/audio-analysis/144pmLno2ywO6gBAkMjBf7,193027,4
0.552,0.348,0,-10.258,1,0.0353,0.535,0.0018,0.106,0.152,110.051,audio_features,4kU3W9CBmw5s7f5R5A8Axt,spotify:track:4kU3W9CBmw5s7f5R5A8Axt,https://api.spotify.com/v1/tracks/4kU3W9CBmw5s7f5R5A8Axt,https://api.spotify.com/v1/audio-analysis/4kU3W9CBmw5s7f5R5A8Axt,265508,4
0.8,0.779,1,-8.152,1,0.0562,0.000284,0.891,0.0999,0.0316,126.065,audio_features,5dAGGCBDusmL912DJdTjqO,spotify:track:5dAGGCBDusmL912DJdTjqO,https://api.spotify.com/v1/tracks/5dAGGCBDusmL912DJdTjqO,https://api.spotify.com/v1/audio-analysis/5dAGGCBDusmL912DJdTjqO,331500,4
0.733,0.882,1,-11.31,1,0.0469,0.343,0.929,0.0902,0.0352,117.403,audio_features,19DYjrlYVE6mqCk6D7LH3O,spotify:track:19DYjrlYVE6mqCk6D7LH3O,https://api.spotify.com/v1/tracks/19DYjrlYVE6mqCk6D7LH3O,https://api.spotify.com/v1/audio-analysis/19DYjrlYVE6mqCk6D7LH3O,429623,4
0.749,0.348,1,-19.307,0,0.047,0.718,0.91,0.165,0.699,112.495,audio_features,0UvaVFBt60eRISC9ZXVpX1,spotify:track:0UvaVFBt60eRISC9ZXVpX1,https://api.spotify.com/v1/tracks/0UvaVFBt60eRISC9ZXVpX1,https://api.spotify.com/v1/audio-analysis/0UvaVFBt60eRISC9ZXVpX1,347733,4
0.689,0.392,7,-18.611,1,0.0541,0.0318,0.811,0.0846,0.322,110.006,audio_features,2weC5qZOYIgJ6kCWdyJuI6,spotify:track:2weC5qZOYIgJ6kCWdyJuI6,https://api.spotify.com/v1/tracks/2weC5qZOYIgJ6kCWdyJuI6,https://api.spotify.com/v1/audio-analysis/2weC5qZOYIgJ6kCWdyJuI6,379233,4
0.787,0.677,0,-5.304,1,0.0435,0.0676,0.0,0.262,0.598,100.035,audio_features,14XLUySagFhP9KoqOTg5ka,spotify:track:14XLUySagFhP9KoqOTg5ka,https://api.spotify.com/v1/tracks/14XLUySagFhP9KoqOTg5ka,https://api.spotify.com/v1/audio-analysis/14XLUySagFhP9KoqOTg5ka,175776,4
0.699,0.868,8,-2.142,1,0.0446,0.0134,0.0,0.634,0.796,132.024,audio_features,2IZ6fFOq5d8lT0CxLDcxKz,spotify:track:2IZ6fFOq5d8lT0CxLDcxKz,https://api.spotify.com/v1/tracks/2IZ6fFOq5d8lT0CxLDcxKz,https://api.spotify.com/v1/audio-analysis/2IZ6fFOq5d8lT0CxLDcxKz,213886,4
0.658,0.486,4,-5.371,0,0.0382,0.00751,0.00387,0.678,0.192,101.985,audio_features,0IvlCZFHDCgeHqZJHO7ghW,spotify:track:0IvlCZFHDCgeHqZJHO7ghW,https://api.spotify.com/v1/tracks/0IvlCZFHDCgeHqZJHO7ghW,https://api.spotify.com/v1/audio-analysis/0IvlCZFHDCgeHqZJHO7ghW,196471,4
0.539,0.338,2,-8.693,1,0.0299,0.911,0.0,0.106,0.247,99.786,audio_features,7FGDL2pk8qcJDAvn4BF3Al,spotify:track:7FGDL2pk8qcJDAvn4BF3Al,https://api.spotify.com/v1/tracks/7FGDL2pk8qcJDAvn4BF3Al,https://api.spotify.com/v1/audio-analysis/7FGDL2pk8qcJDAvn4BF3Al,175916,4
0.683,0.42,5,-6.51,1,0.0542,0.0875,0.0,0.225,0.469,128.621,audio_features,1YlulsUKDduOmC7WxvXYPW,spotify:track:1YlulsUKDduOmC7WxvXYPW,https://api.spotify.com/v1/tracks/1YlulsUKDduOmC7WxvXYPW,https://api.spotify.com/v1/audio-analysis/1YlulsUKDduOmC7WxvXYPW,213507,4
0.567,0.863,6,-3.97,0,0.124,0.275,0.0,0.197,0.618,153.899,audio_features,0W9HGC75wwxU4YweY045ln,spotify:track:0W9HGC75wwxU4YweY045ln,https://api.spotify.com/v1/tracks/0W9HGC75wwxU4YweY045ln,https://api.spotify.com/v1/audio-analysis/0W9HGC75wwxU4YweY045ln,206944,4
0.696,0.776,11,-5.728,0,0.0395,0.147,8.73e-06,0.0839,0.494,120.008,audio_features,0cZMA3EdKJKrKoGQEeMhFJ,spotify:track:0cZMA3EdKJKrKoGQEeMhFJ,https://api.spotify.com/v1/tracks/0cZMA3EdKJKrKoGQEeMhFJ,https://api.spotify.com/v1/audio-analysis/0cZMA3EdKJKrKoGQEeMhFJ,209201,4
0.756,0.667,5,-5.494,1,0.0707,0.0457,2.11e-05,0.0781,0.434,107.036,audio_features,5NIjdxrVUW4GGyLIqXUw9K,spotify:track:5NIjdxrVUW4GGyLIqXUw9K,https://api.spotify.com/v1/tracks/5NIjdxrVUW4GGyLIqXUw9K,https://api.spotify.com/v1/audio-analysis/5NIjdxrVUW4GGyLIqXUw9K,180560,4
0.526,0.765,11,-5.855,1,0.243,0.0431,4.22e-06,0.39,0.84,167.813,audio_features,65ZHlbTuPrZggbmYCVjPL4,spotify:track:65ZHlbTuPrZggbmYCVjPL4,https://api.spotify.com/v1/tracks/65ZHlbTuPrZggbmYCVjPL4,https://api.spotify.com/v1/audio-analysis/65ZHlbTuPrZggbmYCVjPL4,210696,4
