제목,평점,내용
WHY WHY WHY DISNEY? DO YOU KEEP MAKING LIVE ACTION REMAKES,6,"You'd think a company like Disney with the amount of money and resources that they have to draw upon would be able to develop some original ideas but no nope, here's another live action remake. The biggest issue straight out of the gate is that much like pretty much all these live action remakes is that it didn't need to be made. If I want to watch any of the films that have been re made then 9 times out of 10 I'm going to watch the original animation, they're just classics with heart that can't be re created in live action. That being said this film exists and I have limitless so may as well watch it.

Another big issue I had with this film is the pacing, it's a 2hrs 15 mins kids film and with the attention span that kids have today even if it was well paced kids would be bored by the end. This film to me felt like it had a lot of filler particularly once (spoiler) Arial gets her legs in the second act and none of it was that interesting. For me the film didn't add anything that would have made the animation better if it had been in there. That being said this film isn't a total loss, Halle Bailey (not Halle Berry 🐱) is great as arial, when she hits the high note in part of your world I couldn't help but be amazed. In fact that song was probably the stand out scene of the film for me, it was brilliantly recreated.

Bailey is also forced to convey the emotion of her character for a large part of the film just with her eyes and she does a great job of it. I also felt Melisa McCarthy was great as Ursula although I felt her character was underused in what was ultimately an anti-climatic final act. I do want to give a special to mention to Javier Bardem as he gives probably the flattest performance of his entire career as a King Triton. I genuinely got the impression from his performance that he didn't really want to be in this film and to be honest I can't blame him as much like his performance the film feels largely flat for the most part."
It's hard to rate,6,"I went to see this movie with the attitude that it's gonna be the worst Disney Live Action movie.

As I was watching it, I noticed that I don't hate it, but there is also a lot of things that don't work.

Sebasitan and. Flounder look hideous, I have no idea what they were thinking. Straight up CGI fish and crab.

Songs are bad. Halle Bailey has great voice, and can sing, but other than that, the songs are terrible. A lot of times actors singing go out of tune or lose rythm mostly because the line doesn't really fit the music.

Scuttlebutt song made my ears bleed, I also wanted to scratch my eyes out and this scene just wouldn't end.

Visuals are good, but everything is washed out and dark that you can't really appreciate the CGI which is surprisingly good for an disney movie.

Some things are taken straight from the original and some are changed to make more sense because they wanted this movie to have more diverse cast, and at least these changes are made to make it fit.

But still it's not as good as the original, some new things added don't recompensate the things that were cut out.

Had like 4 laughs, but nothing to write home about.

Could've been better."
A Shallow Dive That Missed its Mark,6,"This live action remake was a disappointing attempt to bring a beloved Disney classic to life. It falls flat in almost every aspect, leaving me feeling underwhelmed and disconnected, unlike the original.

Halle Bailey as Ariel was good and Melissa McCarthy as Ursula was passable but beside those two, all of the other characters felt virtually nonexistent with zero chemistry with one another.

Visually, the remake falls short in creating a believable underwater world. The CGI effects were uninspiring and more importantly, looked cheap.

What 'The Little Mermaid' suffered from the most was the god awful script. The pacing was uneven, scenes dragged on or failed to contribute to the overall narrative, and the characters felt shallow and lacked depth.

Overall, the 2023 remake was lackluster and forgettable. The uninspiring performances, poor visual effects, and terrible original songs left me disengaged and disappointed. Don't let the positive reviews the film has been receiving gaslight you into thinking that these awful cash grab live-action remakes that Disney has been producing are okay. The truth is the film fails to capture the magic and charm that made the original film so beloved, which is on par with all the other Disney remakes."
"Uninspired, disappointing.",2,"I saw this movie openining night. I have always loved The Little Mermaid and I was really holding out hopes that this one would surprise me in a good way.

Unfortunately it's as bland and unmagical as the other recent live action remakes. There is no color, no heart, no care in this movie. It's an insult to the original and it does nothing new or fresh to define itself. The things it does try to do new, are at complete odds with its own worldbuilding.

I enjoyed Sebastian and Ursula, but overall I regretted going to see this. I have never walked out of a movie before, but this one tempted me to leave multiple times.

People were checking their phones. Children were talking and wandering around the theatre. What else do you need to know that this movie was downright boring?

There's no excuse for such sloppy movies. And yet here we are, once again, with another boring remake. I honestly never want to watch this movie again. The reviewers aren't being harsh or unfair. This movie was legitimately bad."
Dark and Gloomy,,"No excitement or joy. Maybe the movie was rushed, but no real story line either. Poorly done.do not recommend. Most of the kids in the theater were bored and playing. Others were on third iPad or phones. Kinda sad!

I wish it was more for kids. Seemed like a social statement rather than a movie for kids. Disney needs to get back to the children, where is the laughter and joy?

I would have left early but fell asleep. Several folks slept through it as well. Sad indictment of the movie. Heard lots of folks talking about the positivity of a lead African American actress but even they said the movie was not good. Good effort - poor delivery."
This is one of the best Disney live action remakes,8,"The Little Mermaid (2023) is a movie that my daughter and I saw in theaters last night. The storyline follows a mermaid princess obsessed with the surface and humans. When a Prince's boat crashes and she saves him she becomes even more obsessed with him and the ways of humans against her father's advice. She makes a deal with a sea witch to become human for three days but if the prince doesn't kiss her in that time, she will return to the ocean to be the witch's slave forever. Can the mermaid uncover the ways of the humans and find true love?

This movie is directed by Rob Marshall (Chicago) and stars Halle Bailey (Last Holiday), Jonah Hauer-King (A Dog's Way Home), Melissa McCarthy (The Heat), Javier Bardem (No Country for Old Man), Noma Dumezweni (Dirty Pretty Things) and Awkwafina (Crazy Rich Asians).

This live action remake is beautifully executed with tremendous CGI, storytelling and use of color. Seeing this in 3D was a treat too. The storyline aligned to this animated film perfectly with some good additions. I loved the depiction of the island life and struggles of the humans and mermaids and their mutual perception of each other. I did miss the cook from the cartoon. The new songs were hit or miss. I can't say I enjoyed Eric's song, Halle's new songs worked and I actually enjoyed the rap. The back and forth between Sebastian and Scuttle was hilarious and well written. Melissa McCarthy was a fantastic Ursula and how she was depicted was perfect, especially at the very end.

Overall, this is one of the best Disney live action remakes. I would score this a strong 8-8.5/10 and strongly recommend it."
Some things are better left alone,6,"I'll start with this, Halle Bailey was fantastic. She was cast perfectly as Ariel with her tender voice and childlike charm. I think the entire cast did well given what they had to work with. My issue is that in most cases I feel these live action remakes are not able to capture the essence of their original counterparts. Little Mermaid is no exception, it was fun and colorful to watch but again I felt like something was missing. By the second half of the film I was counting down the time I'd be able to get to my bed. The film just never connected with me. And I almost feel like I would have been perfectly fine without this remake."
Unapologetically mediocre,1,"The Little Mermaid is like a Disney parade, a Bridgerton Broadway show, a Hallmark movie and an aquarium themed screensaver.

The most shocking in this film is the visual incoherence between the ocean world and the human world. The ocean is all horrible cgi hair and crazy psychedelic colors but it feels like a proper universe. On the other hand the human world is insanely cheap looking, a green screen studio Bridgerton with questionable colonial undertones. The market scene is appalling, so shiny and weirdly modern looking as if you were in a themed tourist trap. The studio lighting makes all the actors look like soap opera extras. I feel so bad for the Eric actor who had to deliver that embarrassing solo that reaches the highest levels of camp. And the edit is so stiff, the acting so stilted it seems the director was inspired by Gone With the Wind.

So sure there are some so-bad-it's-good campy moments like the mermaids group looking like a doll display in a kid's bedroom, or the OTT actress playing human Ursula. But oh boy Javier Bardem looks like an AI gone wrong. His out of the water shots had the whole cinema laughing as you could just imagine him shooting them in a tiny pool trying to look serious with that hobo beard and cheesy shell outfit.

At least Halle/Ariel delivered and Ursula was just what you expected from one of the best Disney villains. I wish the climax was a bit longer because those visuals were stunning.

This new remake won't age well at all as all those unapologetically mediocre cash grabs."
Congratulations to Rob Marshall and Halley Bailey,9,"380 out of 1,693 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
The not-so-great Disney Revision strikes again.,6,"107 out of 215 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
