Reviewer,Rating,Review Text
Doris Hecker,5,A definite must see Movie !!! Alot of different emotions which had a Happy Ending !!  :)
JARPER,5,Less songs and more excitement. The new version was the best version of The Little Mermaid.
tara h,5,"It was soooo good,  visual effects were amazing,  story was great,  acting and singing was amazing!"
Tracey,5,The movie was excellent
witallsmiles,5,It was just like the animated movie
Ronnalyn S,5,This movie was really good.  I'm glad there were slight changes but didn't stray too far from the Disney version.  I've already seen it twice
Ty,2,"It was a cute movie, but the script felt forced, like they were trying to hard to bring in aspects from the original animated film. Overall very cute movie, just was not very well put together, felt like it was patched up into a bunch of random scenes."
Riley,5,best live action remake by far
Erika,3,They could of done a better job at making Ariel look like Ariel. Her hair was not even close to being red which is a big part of her costume and just makes the character. Most of the storyline was on point.
Lynn,5,"It was a delightful, beautiful movie. The music, the actors the visual effects were all amazing. I highly recommend it."
Oliwia,5,Loved that Disney kept all the original scenes and added some really good extras !
Satyendra,3,"Overall I can't say it says good as the original, however it respects it and is clearly made with love and affection for it. So I would say it's well worth your time!"
Lisa Marie,5,Blew our expectations out of the water! Ha ha!
Monica,5,The recliner seats were very comfy!
Yesi,1,Im sorry but it was horrible.
Katie,5,"It was magical! 10/10...I loved everything about this movie...the casting, the singing, the whole thing took me right back to my childhood."
TreeO,5,"I didnt care for Prince Erics solo song.  Other than that, the movie was fantastic."
Mia J,5,Beautifully done!!!!
UmmZayd,5,The movie was excellent! Both my teenage daughters absolutely loved it! Halle Bailey did a fantastic job with her role as Ariel. We plan to see it again before it leaves the theatre.
Patricia C,5,Amazing depiction of aquatic life!!!
ERICKA,5,It's a great reemagining of the beloved animated movie!! Give it a chance. I absolute loved it!!!!!!
DF,4,Solid remake that properly honored the original.
FANPerson,5,Halle Bailey was brilliant! Must see this gorgeous talent!
Dee,5,The graphics was on point a well put together film.
Yvonne,5,Cinematography was Fabulous- 3D was Fabulous - music was Fabulous! Loved it!
Jodi,5,The movie was visually stunning. Loved seeing the old animated movie come to life. Loved all of the actors. Lots of action and reminded be a bit of Pirates of the Caribbean. A fun summer movie
Donald,5,Movie was real good.   Very good story line
Jennifer M H,5,"Loved the movie 
True to storyline 
Awesome music"
Nehemiah L,5,TheLittleMermaid was EXCELLENT and so culturally diverse. Loved it! Definitely worth the 34 year wait.
